fid,municipality,ADM3_PCODE,district,province,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,ADM3_REF,ADM3ALT1EN,Shape_Leng,Shape_Area,AREA_SQKM,rice_area_2023,rice_yield_2023,rice_production_2023,corn_area_2023,corn_yield_2023,corn_production_2023,population,SliSaline,ModSaline,SevSaline,NonSaline,TotalSaline,%SalinORicArea,rice_production_2025,rice_area_2025,rice_yield_2025,corn_area_2025,corn_production_2025,corn_yield_2025,poverty_2018,poverty_2021,poverty_2023,stunting,underweight,obese,wasting,poor_rice_farmers,rice_mechanization_level,poor_corn_farmers,corn_mechanization_level,pest_disease_occurrence,asf_status,rpc_site,soil_fertility,irrigated_area,crva_index_rice,crva_index_corn,sensitivity_rice,sensitivity_corn,sensitivity_coconut,sensitivity_banana,sensitivity_hvc,hazard_index,hazard_typhoon,hazard_flood,hazard_drought,hazard_soil_erosion,hazard_landslide,hazard_swi,hazard_storm_surge,hazard_sea_level_rise,ac_index,ac_economic,ac_natural,ac_human,ac_physical,ac_social,ac_health,ac_anticipatory,ac_institutional
7,Abulug,PH0201501,2nd District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.566052709,0.011343079,132.6682036,11255.74,5.990112067,67423.144,2453.95,5.250777318,12885.145,35239,519.34,158.14,137.62,15444.9,815.1,7.24163848845123,58504.58,11312.26,5.17178530196442,3566,13113.5,3.67736960179473,14.8,10.7,8.9,4.55311973,4.55311973,1.222596965,0.590219224,,3.228,,1.381,,,0,,,,,,,,,,,0.30 ,0.90 ,0.02 ,0.03 ,0.00 ,,0.33 ,0.46 ,,0.44 ,0.44 ,0.20 ,0.47 ,0.56 ,,0.57,
88,Aglipay,PH0205701,Quirino,Quirino,PH02057,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.125449644,0.023714472,280.3064235,3805.8,4.894961112,18629.243,2898.5,3.863329308,11197.86,29396,,,,,,,15657.42,3870.01,4.04583450688758,13465.7,13465.7,1,11.6,11.6,8.5,2.829426031,2.223120453,3.314470493,0.121261116,,0.6,,0.21,,,0,,,,,,,,,,,0.55 ,1.00 ,0.58 ,0.60 ,0.56 ,,,,,0.34 ,0.01 ,0.45 ,0.24 ,0.28 ,,0.7122,
8,Alcala,PH0201502,1st District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.61851046,0.01539354,180.5209585,8279.68,5.946082035,49231.6565,8318.24,4.536340019,37734.365,40587,,,,,,,43236.2,7939.44,5.44574932237034,8214.1,37334.7,4.54519667401176,14.7,12.6,9.9,5.333911535,1.951431049,4.249783174,1.17085863,,3.675,,1.01,,,0,,,,,,,,,,,0.79 ,0.50 ,0.18 ,0.58 ,0.51 ,,0.00 ,0.05 ,,0.42 ,0.38 ,0.14 ,0.57 ,0.51 ,,0.77,
87,Alfonso Castaneda,PH0205015,Nueva Vizcaya,Nueva Vizcaya,PH02050,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.837455084,0.039379955,466.6329704,,,,,,,8589,,,,,,,1698,483,3.51552795031056,,,,22.9,15.1,10.8,8.333333333,3.409090909,1.325757576,1.325757576,,3.413,,1.946,,,0,,,,,,,,,,,0.61 ,0.04 ,0.28 ,0.90 ,0.96 ,,,,,,1.00 ,,0.79 ,0.22 ,,0.6766,
36,Alicia,PH0203101,3rd District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.539769697,0.013430407,158.4248606,20292,6.579239434,133505.9266,171.3,4.75,813.675,81119,,,,,,,130684.5,20295.72,6.43901768451674,47.9,214.5,4.47807933194154,12.6,14.1,11.5,8.793180799,4.89008524,5.966801256,4.239569314,,4.3,,4.53,,,0,,,,,,,,,,,0.15 ,0.05 ,0.00 ,0.01 ,0.32 ,0.00 ,0.00 ,0.00 ,,0.54 ,0.99 ,0.06 ,0.54 ,,,,0.551282
9,Allacapan,PH0201503,2nd District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.673260558,0.01969902,230.6476089,18051.934,5.856013998,105712.3782,301.95,4.976817354,1502.75,36444,,,,30680,,,96705.21,18359.02,5.267449461,1878.6,6437.1,3.42654104120089,11.5,13.3,10.7,6.322084579,2.520290474,2.477573686,2.178556173,,3.226,,0.779,,,0,,,,,,,,,,,0.52 ,0.40 ,0.24 ,0.19 ,0.55 ,,0.00 ,0.11 ,,0.40 ,0.86 ,0.19 ,0.23 ,0.00 ,,0,
73,Ambaguio,PH0205001,Nueva Vizcaya,Nueva Vizcaya,PH02050,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.565535916,0.015024268,177.4709597,832,4.106736779,3416.805,2.9,8.26,23.954,18022,,,,,,,3566.85,833,4.28193277310924,,,,53.5,20,13.1,11.35213304,3.904555315,0,0,,2.902,,1.585,,,0,,,,,,,,,,,0.06 ,0.03 ,0.00 ,0.85 ,1.00 ,,,,,,0.14 ,0.26 ,0.46 ,1.00 ,,0.6882,
10,Amulung,PH0201504,3rd District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.964857677,0.02450947,287.5873465,12561.23,6.043321474,75911.551,15779,4.184872616,66033.105,51889,,,,,,,59351.59,10513,5.64554266146675,14253.1,63189.3,4.43337238916446,15.5,15.5,12.1,1.339869281,0.816993464,0.522875817,0.163398693,,4.82,,2.377,,,0,,,,,,,,,,,0.76 ,0.70 ,0.21 ,0.53 ,0.35 ,,0.00 ,0.01 ,,0.68 ,0.72 ,0.18 ,0.32 ,0.84 ,,1,
37,Angadanan,PH0203102,3rd District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.732198552,0.01649397,194.5979149,7932.96,5.137190809,40753.1292,11663.14,6.029213576,70319.56203,46693,,,,,,,30877.02,7440.41,4.14990840558518,11571.7,56542.3,4.88625698903359,14.3,15.6,15.2,4.9370444,1.954937044,2.087475149,0.563286945,,3.45,,0.64,,,0,,,,,,,,,,,0.22 ,0.39 ,0.12 ,0.54 ,0.38 ,0.00 ,0.00 ,0.00 ,,0.49 ,0.55 ,0.03 ,0.11 ,,,,0.217949
11,Aparri,PH0201505,1st District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.381051937,0.022357044,261.2713032,15999.36,5.851316565,93617.3202,139,4.604316547,640,72377,4191.4,6198.43,51.37,18222.8,10441.2,65.2601104044162,73424.63,14612.34,5.02483722661805,1389.9,4232.9,3.04547089718685,13.3,14.4,10.5,0.351880361,0.17594018,0.08797009,0.08797009,,3.518,,0.677,,,0,,,,,,,,,,,0.34 ,0.90 ,0.25 ,0.00 ,0.12 ,,1.00 ,1.00 ,,0.36 ,0.34 ,0.15 ,0.63 ,0.75 ,,0.6,
74,Aritao,PH0205002,Nueva Vizcaya,Nueva Vizcaya,PH02050,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.788199654,0.024681164,291.9898379,6996.8,5.833510805,40815.9084,0,,0,38860,,,,,,,36167.36,6214.6,5.81974061081968,,,,15.8,11.1,7.3,9.532122905,3.177374302,4.155027933,3.107541899,,3.623,,2.048,,,0,,,,,,,,,,,0.71 ,0.21 ,0.38 ,0.91 ,0.85 ,,,,,,0.11 ,0.14 ,0.78 ,0.38 ,,0.8955,
38,Aurora,PH0203103,5th District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.465979907,0.006344256,74.77159463,4569.84,5.806777349,26536.0434,4846,6.366849773,30853.754,37279,,,,,,,26083.45,4640.87,5.62037936852357,2884.2,13196.2,4.57534151584495,11.2,13.2,10.2,7.005494505,3.205128205,5.54029304,2.014652015,,4.67,,1.25,,,0,,,,,,,,,,,0.12 ,1.00 ,0.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,0.57 ,0.88 ,0.14 ,0.68 ,,,,0.666667
75,Bagabag,PH0205003,Nueva Vizcaya,Nueva Vizcaya,PH02050,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.597356882,0.012433885,146.8327563,9021,4.753263718,42879.192,3608.48,3.819724649,13783.4,36836,,,,,,,35667.4,7391.32,4.82557919289112,3579,23590.2,6.59128248113998,8.7,11.1,5.9,1.876172608,0.938086304,0.787992495,0.262664165,,3.89,,2.31,,,1,,,,,,,,,,,0.29 ,0.58 ,0.99 ,0.60 ,0.42 ,,,,,,,0.08 ,0.85 ,0.01 ,,0.8297,
12,Baggao,PH0201506,1st District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.476683646,0.0790889,927.4443477,16672.13,5.513984236,91929.862,16726.71,4.723657796,79011.2541,89694,,,,,,,88014.07,16569.66,5.31176077239968,26576.8,134885.3,5.07530251949068,13.5,13.5,10,6.853912736,3.444621092,3.568274157,3.267973856,,3.125,,0.994,,,0,,,,,,,,,,,0.90 ,0.30 ,1.00 ,0.73 ,0.80 ,,0.02 ,0.02 ,,0.60 ,0.82 ,0.35 ,0.26 ,0.41 ,,0.75,
13,Ballesteros,PH0201507,2nd District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.483590526,0.011063704,129.4299191,10574.93,5.599914751,59218.7065,0,,0,37439,2950.07,1273.96,875.48,6900.49,5099.51,48.2226359890798,49410.69,9472.08,5.21645615324195,,,,13,9.7,7.2,4.727733221,2.406078514,0.886449979,0.970873786,,4.259,,0,,,0,,,,,,,,,,,0.33 ,0.70 ,0.05 ,0.15 ,0.08 ,,0.18 ,0.32 ,,0.15 ,0.16 ,0.16 ,0.69 ,0.72 ,,0.69,
76,Bambang,PH0205004,Nueva Vizcaya,Nueva Vizcaya,PH02050,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.650671676,0.019439361,229.8029095,8420,5.96691234,50241.4019,932,4.642639485,4326.94,62105,,,,,,,46777.23,7906,5.91667467746016,990,6617.3,6.68414141414141,8.2,7.7,5.1,6.751370204,3.039362232,4.559043348,2.815146986,,3.574,,2.396,,,1,,,,,,,,,,,0.73 ,0.43 ,0.80 ,0.79 ,0.62 ,,,,,,0.11 ,1.00 ,0.68 ,0.04 ,,0.4219,
1,Basco (Capital),PH0200901,Batanes,Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.337859398,0.002899488,33.4936102,,,,,,,9610,,,,,,,0.39,0.2,1.95,6.8,8.1,1.19117647058824,7,4.4,4,4.605263158,2.796052632,4.276315789,1.973684211,,,,,,,0,,,,,,,,,,,1.00 ,0.01 ,null,0.80 ,0.77 ,,0.12 ,0.35 ,,1.00 ,0.36 ,0.01 ,0.00 ,0.58 ,,0.9204,
77,Bayombong (Capital),PH0205005,Nueva Vizcaya,Nueva Vizcaya,PH02050,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.486307621,0.01206178,142.5260345,6365.3,4.793376589,30511.28,1101.35,2.454280656,2703.022,66765,,,,,,,25934.58,5596.54,4.63403817358582,746.4,4153.2,5.56430868167203,6.8,6.2,4.7,4.525862069,2.23354232,2.370689655,1.704545455,,3.42,,3.832,,,0,,,,,,,,,,,0.34 ,0.45 ,0.44 ,0.64 ,0.46 ,,,,,,0.04 ,0.72 ,0.92 ,0.53 ,,0.9147,
39,Benito Soliven,PH0203104,2nd District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.76576912,0.014991498,176.7597346,3996,4.497366366,17971.476,13205,3.891412344,51386.1,32618,,,,,,,17556.82,4044,4.3414490603363,14270.5,80927.8,5.67098559966364,19.7,20.5,12.6,8.235294118,4.803921569,5.980392157,4.607843137,,4.01,,2.305,,,0,,,,,,,,,,,0.33 ,0.11 ,0.15 ,1.00 ,0.69 ,0.00 ,0.00 ,0.00 ,,0.11 ,0.73 ,0.00 ,0.00 ,,,,0
14,Buguey,PH0201508,1st District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.645585276,0.011005534,128.8278914,11628.616,5.99150997,69672.9687,1107,4.330948509,4794.36,32764,3559.2,2267.89,335.22,10287.69,6162.31,52.9926347211052,55878.4,9650.36,5.79029176113637,1374.1,5664.3,4.12218906920894,15.3,11.8,9.3,2.837902838,1.683501684,0.240500241,0.577200577,,2.777,,1.45,,,0,,,,,,,,,,,0.51 ,0.70 ,0.04 ,0.14 ,0.10 ,,0.44 ,0.51 ,,0.24 ,0.94 ,0.41 ,0.22 ,0.86 ,,0.63,
40,Burgos,PH0203105,5th District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.40631962,0.006559631,77.27786584,9093.2,5.610057076,51013.371,2140.7,5.202591816,11137.1883,25192,,,,,,,55859.26,9998.19,5.58693723563965,1508.6,6595.7,4.37206681691635,18.2,14,16.4,6.302521008,3.291316527,6.722689076,2.801120448,,9.65,,1.677,,,0,,,,,,,,,,,0.20 ,0.41 ,0.01 ,0.03 ,0.18 ,0.00 ,0.00 ,0.00 ,,0.54 ,0.97 ,0.10 ,0.18 ,,,,0.551282
41,Cabagan,PH0203106,1st District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.313291368,0.02616605,307.7320333,3743.16,4.646603164,17392.9791,9684.49,4.920479757,47652.337,56282,,,,,,,9689.39,1842.2,5.25968407339051,10297.6,51368,4.9883467992542,14.7,16.4,15,3.615627275,1.989808299,3.68842514,1.601553021,,4.78,,3.479,,,0,,,,,,,,,,,0.64 ,0.17 ,0.11 ,0.57 ,0.56 ,0.00 ,0.00 ,0.00 ,,0.46 ,0.68 ,0.20 ,0.63 ,,,,0.782051
89,Cabarroguis (Capital),PH0205702,Quirino,Quirino,PH02057,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.722392757,0.015999039,189.0828461,2746.42,5.229284086,14361.8104,1837.5,2.797681633,5140.74,31406,,,,,,,17248.15,3580.06,4.81783824852098,14777.2,14777.2,1,9.3,7.4,7,5.590062112,2.449965493,0.793650794,0.345065562,,0.56,,0.4,,,0,,,,,,,,,,,0.19 ,0.32 ,0.74 ,0.62 ,0.76 ,,,,,1.00 ,0.01 ,1.00 ,0.28 ,0.00 ,,0.6321,
42,Cabatuan,PH0203107,3rd District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.322827225,0.005422671,63.92629045,10522.56,6.541650701,68834.912,1219.67,6.231906991,7600.87,41781,,,,,,,57100.35,10611.56,5.38095718254432,1119,4461.8,3.98731009830206,11,11.1,9.7,9.306056959,6.899318091,5.655836342,2.888086643,,4.02,,2.99,,,0,,,,,,,,,,,0.14 ,0.38 ,0.04 ,0.00 ,0.22 ,0.00 ,0.00 ,0.00 ,,0.62 ,0.53 ,0.33 ,0.34 ,,,,0.551282
15,Calayan,PH0201509,2nd District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,2.562273928,0.043181014,502.7155791,2016.362,4.646120587,9368.261,328,3.52847561,1157.34,17470,,,,,,,6590.35,1519.45,4.33732600612064,612.2,2108.8,3.44462593923554,42.2,22.6,9.9,4.651162791,4.293381038,1.162790698,1.699463327,,2.817,,2.546,,,0,,,,,,,,,,,0.60 ,0.00 ,0.25 ,1.00 ,0.80 ,,0.05 ,0.04 ,,0.00 ,0.05 ,0.00 ,0.34 ,0.83 ,,0.58,
16,Camalaniugan,PH0201510,1st District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.453917227,0.007621663,89.2038413,7983.21,6.237670827,49796.63612,301.87,5.120522079,1545.732,27212,1587.44,23.08,,6039.49,1610.52,20.17,46210.93,8050.71,5.73998193948111,462.3,1365.7,2.95414233181917,13.5,10,8.5,0,0.257400257,2.123552124,0.707850708,,2.89,,1.98,,,0,,,,,,,,,,,0.63 ,1.00 ,0.00 ,0.14 ,0.08 ,,0.31 ,0.46 ,,0.30 ,0.37 ,0.39 ,0.37 ,0.70 ,,0.31,
43,City of Cauayan,PH0203108,6th District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,1.109881186,0.028551493,336.6830954,20849.62,6.290433685,131153.152,22685.4,6.483931956,147090.59,137711,,,,,,,128247.06,20980,6.11282459485224,23074.6,129783.6,5.62452220190166,12.6,14.4,11.7,,,,,,4.175,,0.416,,,0,,,,,,,,,,,0.22 ,0.27 ,0.21 ,0.50 ,0.40 ,0.00 ,0.00 ,0.00 ,,0.51 ,0.78 ,0.62 ,0.86 ,,,,0.782051
70,City of Santiago,PH0203135,4th District,Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.648320736,0.012861181,151.8165393,16328,5.916581651,96605.9452,220.6,5.13961922,1133.8,139904,,,,,,,95157.79,16343.53,5.82235233147307,616.9,3326.3,5.39195979899498,12.3,12.8,9.7,,,,,,4.319,,,,,0,,,,,,,,,,,0.24 ,0.19 ,0.11 ,0.20 ,0.27 ,0.00 ,0.00 ,0.00 ,,0.76 ,0.59 ,0.41 ,0.53 ,,,,0.551282
17,Claveria,PH0201511,2nd District,Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,09/11/2022,06/11/2023,,,,0.595722276,0.011036091,128.943013,7226.64,5.813620853,42012.945,0,,0,31030,1584.2,897.86,,16997.94,2482.06,34.35,26283.98,6044.3,4.34855649123968,,,,11.1,6.5,5.6,0.954979536,0.68212824,1.02319236,0.409276944,,4.124,,0,,,0,,,,,,,,,,,0.12 ,0.50 ,0.12 ,0.56 ,0.44 ,,0.05 ,0.13 ,,0.73 ,0.39 ,0.37 ,0.74 ,0.88 ,,0.89,
